id,date,user,text,status,screen_id
1081975249158242304,2019-01-06 18:06:16,Phressssh,This is you being knighted.  Now have Millie dunk your ass in the bath or else your fake news.,FOR_REVIEW,1
1081975252639514624,2019-01-06 18:06:17,discjocke52,"The reaction of Moscow to Tomos testifies to its weakness. The Kremlin puts all efforts into its image, but it's ju  https://t.co/MTOBhODwQ5",FOR_REVIEW,2
1081975312802607105,2019-01-06 18:06:31,ArchKennedy,"Muslim Democrat #RashidaTlaib Did Not Use Infidel Jefferson's Koran, Used Her Own.   ""We re sure that to Tlaib, Tho  https://t.co/AcfodkyE45",FOR_REVIEW,3
1081975317487673344,2019-01-06 18:06:32,hfox707,Former New York Times editor just made a jaw-dropping confession about fake news https://t.co/fAtm97jWkp via @PatriotPulse,FOR_REVIEW,4
1081975365084606466,2019-01-06 18:06:43,Bram2268Bram,Fake News Site Promotes Bitcoin With Image of Ex-New Zealand PM https://t.co/3WTchE3xT5,FOR_REVIEW,5
1081975445606658048,2019-01-06 18:07:03,aznkid770,Is this Fake News?   @FoxNews   https://t.co/UO9kRR3B1A,FOR_REVIEW,6
1081975523683774464,2019-01-06 18:07:21,SaniAhm55260969,Very good. This is the best way to control fake reporting against our soldiers and our country.,FOR_REVIEW,7
1081975542994386944,2019-01-06 18:07:26,Kgalabe_,Fake news,FOR_REVIEW,8
1081975554155401217,2019-01-06 18:07:28,raiana_altoe,Fake news,FOR_REVIEW,9
1081975558450438149,2019-01-06 18:07:29,_KvngKortez,"Ladies and gentlemen, after 289 votes... @MobilePunch is the biggest fake news media",FOR_REVIEW,10
1081975651312254977,2019-01-06 18:07:52,InSpiteOfTrump,"Elizabeth Warren, the Democrats and the real problem with the ""fake news media"" https://t.co/biCji4ipoo",FOR_REVIEW,11
1081975663806967808,2019-01-06 18:07:55,CathyDeLaRosa10,@SpeakerPelosi @SenSchumer @MSNBC @cnnbrk @BBCWorld Who is Cmdr Lippold? On the Real Fake News this morning stating  https://t.co/gMaC6dodNB,FOR_REVIEW,12
1081975667229630464,2019-01-06 18:07:55,JayValenz67,"Inside Trump's fake news recidivism: Kelly's departure means return of ""wild west"" -With the departure of W.H chief  https://t.co/80ZFg0KHnQ",FOR_REVIEW,13
1081975719725395968,2019-01-06 18:08:08,CryptoNewsTO,Fake News Site Promotes Bitcoin With Image of Ex-New Zealand PM https://t.co/oLa1u75tZF https://t.co/4vgo5pmVnv,FOR_REVIEW,14
1081975739078098944,2019-01-06 18:08:12,Mickorua1,Isreal has its dirty claws in and Money in our Tory MPs and prime minister that now no one can be critical of Netan  https://t.co/5G4ow62LS8,FOR_REVIEW,15
1081975753158377473,2019-01-06 18:08:16,QueenSeduca,@realDonaldTrump when did you start speaking for TSA? Officers are limiting their own resources to report to work a  https://t.co/cmOJfxfqjG,FOR_REVIEW,16
1081975778814889990,2019-01-06 18:08:22,CBSSportsNBA,"Joel Embiid wants his teammate Ben Simmons to keep taking jumpers:  ""I shot 30 percent from three, but guys still j  https://t.co/CpG2Q4St6z",FOR_REVIEW,1
1081975875271380992,2019-01-06 18:08:45,SKConservative,Lol sure @Reuters fake news.  https://t.co/WjAcBAKC57,FOR_REVIEW,2
1081975878635143170,2019-01-06 18:08:46,WillSm_ith,F f f f fake news,FOR_REVIEW,3
1081975993961635840,2019-01-06 18:09:13,Samurai0462,Former New York Times editor just made a jaw-dropping confession about fake news - Patriot Pulse https://t.co/I4lPMI1Wer  Very Good Article,FOR_REVIEW,4
1081976005047341057,2019-01-06 18:09:16,kundu_robert,Surely. Our silence should not be mistaken for a weakness and especially the far it has reached that just a man mad  https://t.co/EJSPkF8ABP,FOR_REVIEW,5
1081976011137310720,2019-01-06 18:09:17,LRaegardner,"This is an example of ""Fake News"", only it's coming from the WH. It's usually those guilty of something that claim  https://t.co/9EVKTMom5U",FOR_REVIEW,6
1081976022818537472,2019-01-06 18:09:20,VIPortalINC,"Fake news menace can only be controlled by people through self-restraint, says Rajyavardhan  https://t.co/g27OWdOt6a",FOR_REVIEW,7
1081976032977215488,2019-01-06 18:09:23,Tweeturbizuk,IMHO fake news,FOR_REVIEW,8
1081976097531662336,2019-01-06 18:09:38,AllaboutDutch,"They really on #meetThePress and political news shows talking about a fake president who made up a ""Wall crisis"" fo  https://t.co/YxSmGnoUop",FOR_REVIEW,9
1081976123691581440,2019-01-06 18:09:44,shawttynatt,"Rather than focus on issue based campaigns, The Politicians who went to Dubai invested in Fake News, Dirt smearing  https://t.co/txwJwsCwno",FOR_REVIEW,10
1081976170609025025,2019-01-06 18:09:55,JoyleneF,Is the Press guilty of  Sedition Act  reporting inaccurate news to take down America and our American citizens. Try  https://t.co/RIzv5yNnT3,FOR_REVIEW,11
1081976245682954241,2019-01-06 18:10:13,UKDemockery,"It's telling that both Hodges &amp; Cleverly feel compelled to inform you that I, Daniel Blake is a movie with characte  https://t.co/tOnBykA7mt",FOR_REVIEW,12
1081976247910105090,2019-01-06 18:10:14,lola_patty,Inside Trump s fake news recidivism https://t.co/EYr3n8yvuU,FOR_REVIEW,13
1081976265522008064,2019-01-06 18:10:18,keldcol,"Wait, so Fox News is now fact checking @PressSec Fake News?  Bravo, Chris Wallace for calling out their continued l  https://t.co/zoClPnK2lS",FOR_REVIEW,14
1081976314310078464,2019-01-06 18:10:30,DuenaParker,NOT FAKE NEWS,FOR_REVIEW,15
1081976366243954690,2019-01-06 18:10:42,realDonaldTwump,"We are doing a long and experience from the Fake News Media &amp; the Dems want to find out of Russia in America, a Great Law Enforce to see",FOR_REVIEW,16
